都道府県名,市区町村,人口(計)
岩手県,岩手郡葛巻町,5607.0
岩手県,岩手郡岩手町,12133.0
岩手県,紫波郡紫波町,33049.0
岩手県,紫波郡矢巾町,26570.0
岩手県,和賀郡西和賀町,5022.0
岩手県,胆沢郡金ケ崎町,15239.0
岩手県,西磐井郡平泉町,7010.0
岩手県,気仙郡住田町,4906.0
岩手県,上閉伊郡大槌町,10928.0
岩手県,下閉伊郡山田町,14486.0
岩手県,下閉伊郡岩泉町,8310.0
岩手県,下閉伊郡田野畑村,3061.0
岩手県,下閉伊郡普代村,2441.0
岩手県,九戸郡軽米町,8312.0
岩手県,九戸郡野田村,4027.0
岩手県,九戸郡九戸村,5365.0
岩手県,九戸郡洋野町,15421.0
岩手県,二戸郡一戸町,11233.0
宮城県,仙台市青葉区,295255.0
宮城県,仙台市宮城野区,189431.0
宮城県,仙台市若林区,137911.0
宮城県,仙台市太白区,234493.0
宮城県,仙台市泉区,210396.0
宮城県,石巻市,136822.0
宮城県,塩竈市,52474.0
宮城県,気仙沼市,58926.0
宮城県,白石市,31968.0
宮城県,名取市,79630.0
宮城県,角田市,27262.0
宮城県,多賀城市,62204.0
宮城県,岩沼市,43656.0
宮城県,登米市,74795.0
宮城県,栗原市,63299.0
宮城県,東松島市,38919.0
宮城県,大崎市,125444.0
宮城県,富谷市,52399.0
宮城県,刈田郡蔵王町,11264.0
宮城県,刈田郡七ヶ宿町,1258.0
宮城県,柴田郡大河原町,23578.0
宮城県,柴田郡村田町,10241.0
宮城県,柴田郡柴田町,36972.0
宮城県,柴田郡川崎町,8286.0
宮城県,伊具郡丸森町,12192.0
宮城県,亘理郡亘理町,33270.0
宮城県,亘理郡山元町,11726.0
宮城県,宮城郡松島町,13321.0
宮城県,宮城郡七ヶ浜町,18014.0
宮城県,宮城郡利府町,35960.0
宮城県,黒川郡大和町,28179.0
宮城県,黒川郡大郷町,7728.0
宮城県,黒川郡大衡村,5650.0
宮城県,加美郡色麻町,6401.0
宮城県,加美郡加美町,21774.0
宮城県,遠田郡涌谷町,14930.0
宮城県,遠田郡美里町,23483.0
宮城県,牡鹿郡女川町,5982.0
宮城県,本吉郡南三陸町,11979.0
秋田県,秋田市,300470.0
秋田県,能代市,49353.0
秋田県,横手市,84294.0
秋田県,大館市,68083.0
秋田県,男鹿市,24784.0
秋田県,湯沢市,41479.0
秋田県,鹿角市,28473.0
秋田県,由利本荘市,72753.0
秋田県,潟上市,31836.0
秋田県,大仙市,76537.0
秋田県,北秋田市,29339.0
秋田県,にかほ市,23047.0
秋田県,仙北市,24100.0
秋田県,鹿角郡小坂町,4688.0
秋田県,北秋田郡上小阿仁村,2029.0
秋田県,山本郡藤里町,2899.0
秋田県,山本郡三種町,15020.0
秋田県,山本郡八峰町,6473.0
秋田県,南秋田郡五城目町,8369.0
秋田県,南秋田郡八郎潟町,5376.0
秋田県,南秋田郡井川町,4386.0
秋田県,南秋田郡大潟村,3010.0
秋田県,仙北郡美郷町,18189.0
秋田県,雄勝郡羽後町,13642.0
秋田県,雄勝郡東成瀬村,2392.0
山形県,山形市,240441.0
山形県,米沢市,77232.0
山形県,鶴岡市,120398.0
山形県,酒田市,97395.0
山形県,新庄市,33374.0
山形県,寒河江市,40086.0
山形県,上山市,28584.0
山形県,村山市,22232.0
山形県,長井市,25276.0
山形県,天童市,61052.0
山形県,東根市,47982.0
山形県,尾花沢市,14433.0
山形県,南陽市,29848.0
山形県,東村,24407.0
山形県,東村山郡山辺町,13685.0
山形県,東村山郡中山町,10722.0
山形県,西村,35725.0
山形県,西村山郡河北町,17322.0
山形県,西村山郡西川町,4775.0
山形県,西村山郡朝日町,6199.0
山形県,西村山郡大江町,7429.0
山形県,北村,6322.0
山形県,北村山郡大石田町,6322.0
山形県,最上郡金山町,4981.0
山形県,最上郡最上町,7797.0
山形県,最上郡舟形町,4887.0
山形県,最上郡真室川町,6884.0
山形県,最上郡大蔵村,2939.0
山形県,最上郡鮭川村,3871.0
山形県,最上郡戸沢村,4071.0
山形県,東置賜郡高畠町,22094.0
山形県,東置賜郡川西町,13971.0
山形県,西置賜郡小国町,6938.0
山形県,西置賜郡白鷹町,12758.0
山形県,西置賜郡飯豊町,6530.0
山形県,東田川郡三川町,7195.0
山形県,東田川郡庄内町,19897.0
山形県,飽海郡遊佐町,12796.0
福島県,福島市,270744.0
福島県,会津若松市,114200.0
福島県,郡山市,317486.0
福島県,いわき市,310890.0
福島県,白河市,58743.0
福島県,須賀川市,74634.0
福島県,喜多方市,45078.0
福島県,相馬市,33355.0
福島県,二本松市,52162.0
福島県,田村市,34264.0
福島県,南相馬市,57527.0
福島県,伊達市,57558.0
福島県,本宮市,29958.0
福島県,伊達郡桑折町,11229.0
福島県,伊達郡国見町,8400.0
福島県,伊達郡川俣町,11958.0
福島県,安達郡大玉村,8762.0
福島県,岩瀬郡鏡石町,12531.0
福島県,岩瀬郡天栄村,5304.0
福島県,南会津郡下郷町,5123.0
福島県,南会津郡檜枝岐村,521.0
福島県,南会津郡只見町,3961.0
福島県,南会津郡南会津町,14176.0
福島県,耶麻郡北塩原村,2478.0
福島県,耶麻郡西会津町,5694.0
福島県,耶麻郡磐梯町,3289.0
福島県,耶麻郡猪苗代町,13145.0
福島県,河沼郡会津坂下町,14777.0
福島県,河沼郡湯川村,3073.0
福島県,河沼郡柳津町,3042.0
福島県,大沼郡三島町,1414.0
福島県,大沼郡金山町,1801.0
福島県,大沼郡昭和村,1142.0
福島県,大沼郡会津美里町,18944.0
福島県,西白河郡西郷村,20317.0
福島県,西白河郡泉崎村,6205.0
福島県,西白河郡中島村,4860.0
福島県,西白河郡矢吹町,16960.0
福島県,東白川郡棚倉町,13277.0
福島県,東白川郡矢祭町,5352.0
福島県,東白川郡塙町,8195.0
福島県,東白川郡鮫川村,3033.0
福島県,石川郡石川町,14122.0
福島県,石川郡玉川村,6312.0
福島県,石川郡平田村,5625.0
福島県,石川郡浅川町,5984.0
福島県,石川郡古殿町,4774.0
福島県,田村,25802.0
福島県,田村郡三春町,16489.0
福島県,田村郡小野町,9313.0
福島県,双葉郡広野町,4672.0
福島県,双葉郡楢葉町,6648.0
福島県,双葉郡富岡町,11736.0
福島県,双葉郡川内村,2366.0
福島県,双葉郡大熊町,10002.0
福島県,双葉郡双葉町,5539.0
福島県,双葉郡浪江町,15590.0
福島県,双葉郡葛尾村,1307.0
福島県,相馬郡新地町,7716.0
福島県,相馬郡飯舘村,4824.0
茨城県,水戸市,270010.0
茨城県,日立市,169785.0
茨城県,土浦市,141418.0
茨城県,古河市,140959.0
茨城県,石岡市,71817.0
茨城県,結城市,50349.0
茨城県,龍ケ崎市,75813.0
茨城県,下妻市,42419.0
茨城県,常総市,61562.0
茨城県,常陸太田市,48222.0
茨城県,高萩市,26866.0
茨城県,北茨城市,41448.0
茨城県,笠間市,73787.0
茨城県,取手市,106011.0
茨城県,牛久市,84293.0
茨城県,つくば市,252202.0
茨城県,ひたちなか市,156435.0
茨城県,鹿嶋市,66274.0
茨城県,潮来市,26890.0
茨城県,守谷市,70414.0
茨城県,常陸大宮市,39370.0
茨城県,那珂市,53839.0
茨城県,筑西市,101606.0
茨城県,坂東市,52639.0
茨城県,稲敷市,38377.0
茨城県,かすみがうら市,40628.0
茨城県,桜川市,39041.0
茨城県,神栖市,94710.0
茨城県,行方市,32502.0
茨城県,鉾田市,47181.0
茨城県,つくばみらい市,53004.0
茨城県,小美玉市,49224.0
茨城県,東茨城郡茨城町,31098.0
茨城県,東茨城郡大洗町,15932.0
茨城県,東茨城郡城里町,18379.0
茨城県,那珂郡東海村,38424.0
茨城県,久慈郡大子町,15444.0
茨城県,稲敷郡美浦村,14605.0
茨城県,稲敷郡阿見町,49161.0
茨城県,稲敷郡河内町,8140.0
茨城県,結城郡八千代町,21224.0
茨城県,猿島郡五霞町,8112.0
茨城県,猿島郡境町,24785.0
茨城県,北相馬郡利根町,15409.0
栃木県,宇都宮市,517497.0
栃木県,足利市,142510.0
栃木県,栃木市,155669.0
栃木県,佐野市,115088.0
栃木県,鹿沼市,94606.0
栃木県,日光市,77546.0
栃木県,小山市,167277.0
栃木県,真岡市,79391.0
栃木県,大田原市,69455.0
栃木県,矢板市,30946.0
栃木県,那須塩原市,116733.0
栃木県,さくら市,43984.0
栃木県,那須烏山市,24601.0
栃木県,下野市,60140.0
栃木県,河内郡上三川町,30886.0
栃木県,芳賀郡益子町,21876.0
栃木県,芳賀郡茂木町,11977.0
栃木県,芳賀郡市貝町,11397.0
栃木県,芳賀郡芳賀町,15549.0
栃木県,下都賀郡壬生町,38600.0
栃木県,下都賀郡野木町,25164.0
栃木県,塩谷郡塩谷町,10322.0
栃木県,塩谷郡高根沢町,29074.0
栃木県,那須郡那須町,24281.0
栃木県,那須郡那珂川町,14865.0
群馬県,前橋市,331771.0
群馬県,高崎市,369314.0
群馬県,桐生市,104647.0
群馬県,伊勢崎市,212128.0
群馬県,太田市,222403.0
群馬県,沼田市,45305.0
群馬県,館林市,74427.0
群馬県,渋川市,73968.0
群馬県,藤岡市,62884.0
群馬県,富岡市,46427.0
群馬県,安中市,55245.0
群馬県,みどり市,49423.0
群馬県,北群馬郡榛東村,14610.0
群馬県,北群馬郡吉岡町,22371.0
群馬県,多野郡上野村,1075.0
群馬県,多野郡神流町,1641.0
群馬県,甘楽郡下仁田町,6549.0
群馬県,甘楽郡南牧村,1578.0
群馬県,甘楽郡甘楽町,12601.0
群馬県,吾妻郡中之条町,14938.0
群馬県,吾妻郡長野原町,5326.0
群馬県,吾妻郡嬬恋村,9174.0
群馬県,吾妻郡草津町,6082.0
群馬県,吾妻郡高山村,3331.0
群馬県,吾妻郡東吾妻町,12661.0
群馬県,利根郡片品村,4088.0
群馬県,利根郡川場村,3105.0
群馬県,利根郡昭和村,7007.0
群馬県,利根郡みなかみ町,17602.0
群馬県,佐波郡玉村町,35980.0
群馬県,邑楽郡板倉町,13880.0
群馬県,邑楽郡明和町,10875.0
群馬県,邑楽郡千代田町,11021.0
群馬県,邑楽郡大泉町,41729.0
群馬県,邑楽郡邑楽町,25810.0
埼玉県,さいたま市西区,94583.0
埼玉県,さいたま市北区,149826.0
埼玉県,さいたま市大宮区,124002.0
埼玉県,さいたま市見沼区,165005.0
埼玉県,さいたま市中央区,103059.0
埼玉県,さいたま市桜区,96304.0
埼玉県,さいたま市浦和区,168522.0
埼玉県,さいたま市南区,193471.0
埼玉県,さいたま市緑区,132308.0
埼玉県,さいたま市岩槻区,112253.0
埼玉県,川越市,353183.0
埼玉県,熊谷市,193132.0
埼玉県,川口市,604715.0
埼玉県,行田市,78741.0
埼玉県,秩父市,59244.0
埼玉県,所沢市,344070.0
埼玉県,飯能市,78445.0
埼玉県,加須市,112179.0
埼玉県,本庄市,77526.0
埼玉県,東松山市,90651.0
埼玉県,春日部市,231726.0
埼玉県,狭山市,149360.0
埼玉県,羽生市,53951.0
埼玉県,鴻巣市,117798.0
埼玉県,深谷市,141681.0
埼玉県,上尾市,230229.0
埼玉県,草加市,250966.0
埼玉県,越谷市,343866.0
埼玉県,蕨市,75282.0
埼玉県,戸田市,141887.0
埼玉県,入間市,145718.0
埼玉県,朝霞市,144062.0
埼玉県,志木市,76416.0
埼玉県,和光市,83962.0
埼玉県,新座市,165730.0
埼玉県,桶川市,74680.0
埼玉県,久喜市,150987.0
埼玉県,北本市,65751.0
埼玉県,八潮市,92365.0
埼玉県,富士見市,112839.0
埼玉県,三郷市,142410.0
埼玉県,蓮田市,61211.0
埼玉県,坂戸市,99763.0
埼玉県,幸手市,49404.0
埼玉県,鶴ヶ島市,70190.0
埼玉県,日高市,54615.0
埼玉県,吉川市,73001.0
埼玉県,ふじみ野市,114156.0
埼玉県,白岡市,52748.0
埼玉県,北足立郡伊奈町,45221.0
埼玉県,入間郡三芳町,37738.0
埼玉県,入間郡毛呂山町,32616.0
埼玉県,入間郡越生町,11074.0
埼玉県,比企郡滑川町,19711.0
埼玉県,比企郡嵐山町,17596.0
埼玉県,比企郡小川町,28244.0
埼玉県,比企郡川島町,19188.0
埼玉県,比企郡吉見町,18117.0
埼玉県,比企郡鳩山町,13158.0
埼玉県,比企郡ときがわ町,10589.0
埼玉県,秩父郡横瀬町,7835.0
埼玉県,秩父郡皆野町,9236.0
埼玉県,秩父郡長瀞町,6660.0
埼玉県,秩父郡小鹿野町,10622.0
埼玉県,秩父郡東秩父村,2548.0
埼玉県,児玉郡美里町,10916.0
埼玉県,児玉郡神川町,13122.0
埼玉県,児玉郡上里町,30554.0
埼玉県,大里郡寄居町,32237.0
埼玉県,南埼玉郡宮代町,33514.0
埼玉県,北葛飾郡杉戸町,44168.0
埼玉県,北葛飾郡松伏町,28398.0
千葉県,千葉市中央区,211942.0
千葉県,千葉市花見川区,176669.0
千葉県,千葉市稲毛区,157905.0
千葉県,千葉市若葉区,147717.0
千葉県,千葉市緑区,130064.0
千葉県,千葉市美浜区,152719.0
千葉県,銚子市,56373.0
千葉県,市川市,491577.0
千葉県,船橋市,647037.0
千葉県,館山市,44677.0
千葉県,木更津市,136303.0
千葉県,松戸市,497120.0
千葉県,野田市,153661.0
千葉県,茂原市,87358.0
千葉県,成田市,130944.0
千葉県,佐倉市,171460.0
千葉県,東金市,57268.0
千葉県,旭市,63379.0
千葉県,習志野市,174812.0
千葉県,柏市,433733.0
千葉県,勝浦市,16097.0
千葉県,市原市,270085.0
千葉県,流山市,208401.0
千葉県,八千代市,204717.0
千葉県,我孫子市,130964.0
千葉県,鴨川市,31277.0
千葉県,鎌ケ谷市,109564.0
千葉県,君津市,81176.0
千葉県,富津市,41773.0
千葉県,浦安市,169552.0
千葉県,四街道市,96226.0
千葉県,袖ケ浦市,65659.0
千葉県,八街市,67396.0
千葉県,印西市,109953.0
千葉県,白井市,62845.0
千葉県,富里市,49404.0
千葉県,南房総市,35593.0
千葉県,匝瑳市,34338.0
千葉県,香取市,71868.0
千葉県,山武市,49103.0
千葉県,いすみ市,35896.0
千葉県,大網白里市,48417.0
千葉県,印旛郡酒々井町,20339.0
千葉県,印旛郡栄町,19933.0
千葉県,香取郡神崎町,5761.0
千葉県,香取郡多古町,13813.0
千葉県,香取郡東庄町,13125.0
千葉県,山武郡九十九里町,14625.0
千葉県,山武郡芝山町,6905.0
千葉県,山武郡横芝光町,22697.0
千葉県,長生郡一宮町,12304.0
千葉県,長生郡睦沢町,6746.0
千葉県,長生郡長生村,13738.0
千葉県,長生郡白子町,10721.0
千葉県,長生郡長柄町,6444.0
千葉県,長生郡長南町,7433.0
千葉県,夷隅郡大多喜町,8365.0
千葉県,夷隅郡御宿町,7114.0
千葉県,安房郡鋸南町,6990.0
東京都,千代田区,67911.0
東京都,中央区,174074.0
東京都,港区,261615.0
東京都,新宿区,346279.0
東京都,文京区,229653.0
東京都,台東区,207479.0
東京都,墨田区,279985.0
東京都,江東区,532882.0
東京都,品川区,404196.0
東京都,目黒区,278635.0
東京都,大田区,728425.0
東京都,世田谷区,915439.0
東京都,渋谷区,229412.0
東京都,中野区,333593.0
東京都,杉並区,570786.0
東京都,豊島区,288704.0
東京都,北区,353732.0
東京都,荒川区,216814.0
東京都,板橋区,568241.0
東京都,練馬区,738914.0
東京都,足立区,690114.0
東京都,葛飾区,464175.0
東京都,江戸川区,688153.0
東京都,八王子市,562145.0
東京都,立川市,185483.0
東京都,武蔵野市,147964.0
東京都,三鷹市,189916.0
東京都,青梅市,130274.0
東京都,府中市,259924.0
東京都,昭島市,114259.0
東京都,調布市,238505.0
東京都,町田市,430831.0
東京都,小金井市,124756.0
東京都,小平市,196924.0
東京都,日野市,187254.0
東京都,東村山市,151814.0
東京都,国分寺市,128238.0
東京都,国立市,76168.0
東京都,福生市,56201.0
東京都,狛江市,82749.0
東京都,東大和市,84870.0
東京都,清瀬市,74702.0
東京都,東久留米市,116839.0
東京都,武蔵村山市,71296.0
東京都,多摩市,148210.0
東京都,稲城市,93421.0
東京都,羽村市,54504.0
東京都,あきる野市,79807.0
東京都,西東京市,205876.0
東京都,西多摩郡瑞穂町,32161.0
東京都,西多摩郡日の出町,16409.0
東京都,西多摩郡檜原村,2038.0
東京都,西多摩郡奥多摩町,4746.0
東京都,大島町,7150.0
東京都,利島村,317.0
東京都,新島村,2495.0
東京都,神津島村,1813.0
東京都,三宅村,2301.0
東京都,御蔵島村,292.0
東京都,八丈町,7053.0
東京都,青ヶ島村,168.0
東京都,小笠原村,2581.0
神奈川県,横浜市鶴見区,293430.0
神奈川県,横浜市神奈川区,242940.0
神奈川県,横浜市西区,104408.0
神奈川県,横浜市中区,152949.0
神奈川県,横浜市南区,198745.0
神奈川県,横浜市保土ケ谷区,203266.0
神奈川県,横浜市磯子区,166575.0
神奈川県,横浜市金沢区,194944.0
神奈川県,横浜市港北区,354558.0
神奈川県,横浜市戸塚区,282160.0
神奈川県,横浜市港南区,214052.0
神奈川県,横浜市旭区,243849.0
神奈川県,横浜市緑区,181749.0
神奈川県,横浜市瀬谷区,122164.0
神奈川県,横浜市栄区,121318.0
神奈川県,横浜市泉区,152035.0
神奈川県,横浜市青葉区,309573.0
神奈川県,横浜市都筑区,214930.0
神奈川県,川崎市川崎区,232123.0
神奈川県,川崎市幸区,172312.0
神奈川県,川崎市中原区,261075.0
神奈川県,川崎市高津区,230205.0
神奈川県,川崎市多摩区,215269.0
神奈川県,川崎市宮前区,234495.0
神奈川県,川崎市麻生区,178547.0
神奈川県,相模原市緑区,167923.0
神奈川県,相模原市中央区,272439.0
神奈川県,相模原市南区,278756.0
神奈川県,横須賀市,388197.0
神奈川県,平塚市,256005.0
神奈川県,鎌倉市,176460.0
神奈川県,藤沢市,445177.0
神奈川県,小田原市,187880.0
神奈川県,茅ヶ崎市,246394.0
神奈川県,逗子市,58959.0
神奈川県,三浦市,41297.0
神奈川県,秦野市,159646.0
神奈川県,厚木市,223836.0
神奈川県,大和市,244421.0
神奈川県,伊勢原市,99910.0
神奈川県,海老名市,138969.0
神奈川県,座間市,131527.0
神奈川県,南足柄市,41057.0
神奈川県,綾瀬市,84376.0
神奈川県,三浦郡葉山町,32623.0
神奈川県,高座郡寒川町,49063.0
神奈川県,中郡大磯町,32265.0
神奈川県,中郡二宮町,27925.0
神奈川県,足柄上郡中井町,9068.0
神奈川県,足柄上郡大井町,17363.0
神奈川県,足柄上郡松田町,10616.0
神奈川県,足柄上郡山北町,9577.0
神奈川県,足柄上郡開成町,18566.0
神奈川県,足柄下郡箱根町,10845.0
神奈川県,足柄下郡真鶴町,6880.0
神奈川県,足柄下郡湯河原町,23899.0
神奈川県,愛甲郡愛川町,39601.0
神奈川県,愛甲郡清川村,2812.0
新潟県,新潟市北区,71869.0
新潟県,新潟市東区,133060.0
新潟県,新潟市中央区,173153.0
新潟県,新潟市江南区,68237.0
新潟県,新潟市秋葉区,75210.0
新潟県,新潟市南区,43150.0
新潟県,新潟市西区,155001.0
新潟県,新潟市西蒲区,54234.0
新潟県,長岡市,261287.0
新潟県,三条市,93403.0
新潟県,柏崎市,78901.0
新潟県,新発田市,94098.0
新潟県,小千谷市,33722.0
新潟県,加茂市,25052.0
新潟県,十日町市,49172.0
